epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1894.261951,1893.446323,0.000000,0.815622,0.697427,202.140408,201.287167,0.000000,0.853237,0.687861,1.00e-04
2,1.000,1.000,565.909337,565.042493,0.000000,0.866847,0.695138,123.091024,122.181330,0.000000,0.909693,0.684862,1.00e-04
3,1.000,1.000,263.447524,262.516453,0.000000,0.931070,0.695898,81.793844,80.809284,0.000000,0.984561,0.681976,1.00e-04
4,1.000,1.000,162.973509,161.969998,0.000000,1.003512,0.692760,76.523710,75.471199,0.000000,1.052511,0.681511,1.00e-04
5,1.000,1.000,122.008412,120.932141,0.000000,1.076270,0.693511,66.624504,65.489190,0.000000,1.135314,0.682538,1.00e-04
6,1.000,1.000,97.136641,95.972111,0.000000,1.164530,0.696631,62.361209,61.133895,0.000000,1.227315,0.686997,1.00e-04
7,1.000,1.000,86.436849,85.175935,0.000000,1.260913,0.698601,60.066366,58.734836,0.000000,1.331531,0.686737,1.00e-04
8,1.000,1.000,76.647569,75.277572,0.000000,1.369998,0.698382,56.863949,55.418890,0.000000,1.445058,0.685941,1.00e-04
9,1.000,1.000,71.706929,70.221210,0.000000,1.485719,0.698204,57.316955,55.753455,0.000000,1.563498,0.686063,1.00e-04
10,1.000,1.000,67.410622,65.803645,0.000000,1.606978,0.696708,56.645313,54.954839,0.000000,1.690474,0.685824,1.00e-04
11,1.000,1.000,65.893732,64.155933,0.000000,1.737798,0.696739,56.061780,54.234285,0.000000,1.827496,0.685698,1.00e-04
12,1.000,1.000,63.803946,61.925227,0.000000,1.878719,0.697994,55.756960,53.792795,0.000000,1.964165,0.686972,1.00e-04
13,1.000,1.000,62.335584,60.323191,0.000000,2.012393,0.699581,54.779675,52.675195,0.000000,2.104480,0.686171,1.00e-04
14,1.000,1.000,60.429104,58.270042,0.000000,2.159061,0.695263,55.529454,53.283082,0.000000,2.246373,0.687465,1.00e-04
15,1.000,1.000,60.199513,57.899745,0.000000,2.299769,0.697579,54.524692,52.129269,0.000000,2.395423,0.686011,1.00e-04
16,1.000,1.000,58.763194,56.312521,0.000000,2.450673,0.696723,54.293452,51.745983,0.000000,2.547468,0.686915,1.00e-04
17,1.000,1.000,57.892953,55.288879,0.000000,2.604074,0.696725,54.674874,51.977715,0.000000,2.697159,0.687554,1.00e-04
18,1.000,1.000,57.101940,54.353809,0.000000,2.748130,0.695141,53.335677,50.501186,0.000000,2.834491,0.686362,1.00e-04
19,1.000,1.000,56.204896,53.317002,0.000000,2.887894,0.695116,54.163520,51.179749,0.000000,2.983770,0.687160,1.00e-04
20,1.000,1.000,55.412746,52.379430,0.000000,3.033316,0.697735,53.080980,49.964996,0.000000,3.115984,0.687020,1.00e-04
21,1.000,1.000,54.583233,51.417006,0.000000,3.166227,0.696150,52.740187,49.488995,0.000000,3.251193,0.687337,1.00e-04
22,1.000,1.000,53.924574,50.624599,0.000000,3.299975,0.695074,52.593350,49.218268,0.000000,3.375082,0.687220,1.00e-04
23,1.000,1.000,53.188154,49.772425,0.000000,3.415729,0.695015,52.062284,48.578053,0.000000,3.484231,0.687336,1.00e-04
24,1.000,1.000,52.765049,49.240416,0.000000,3.524633,0.695198,51.222095,47.637733,0.000000,3.584362,0.687176,1.00e-04
25,1.000,1.000,52.010725,48.393354,0.000000,3.617371,0.695880,51.561501,47.878570,0.000000,3.682931,0.687134,1.00e-04
26,1.000,1.000,51.438131,47.725768,0.000000,3.712363,0.694598,50.448601,46.687492,0.000000,3.761108,0.687725,1.00e-04
27,1.000,1.000,50.813523,47.022467,0.000000,3.791056,0.695712,50.429441,46.586938,0.000000,3.842503,0.687351,1.00e-04
28,1.000,1.000,50.038875,46.181715,0.000000,3.857161,0.695757,50.035508,46.145894,0.000000,3.889615,0.687264,1.00e-04
29,1.000,1.000,49.615537,45.705956,0.000000,3.909581,0.694629,49.194763,45.262261,0.000000,3.932501,0.687474,1.00e-04
30,1.000,1.000,48.886603,44.940835,0.000000,3.945768,0.694183,48.734746,44.756698,0.000000,3.978049,0.687511,1.00e-04
31,1.000,1.000,48.371670,44.387798,0.000000,3.983873,0.695179,48.433623,44.433588,0.000000,4.000035,0.687632,1.00e-04
